true_volatility,method,recovered_volatility,absolute_error,iterations,price_residual,converged
0.1,bisection,0.10000000000582077,5.820760540231618e-12,34,2.184279424000124e-10,True
0.1,newton,0.10000000000003761,3.760880495917718e-14,4,1.3997691894473974e-12,True
0.1,brent,0.10000000000000014,1.3877787807814457e-16,8,7.105427357601002e-15,True
0.2,bisection,0.1999999999825377,1.746230937627047e-11,34,-6.752074455107504e-10,True
0.2,newton,0.19999999999999998,2.7755575615628914e-17,4,0.0,True
0.2,brent,0.20000000000000004,2.7755575615628914e-17,6,0.0,True
0.4,bisection,0.39999999999417923,5.820788295807233e-12,34,-2.2360779894370353e-10,True
0.4,newton,0.40000000000000024,2.220446049250313e-16,4,7.105427357601002e-15,True
0.4,brent,0.4000000000000003,2.7755575615628914e-16,6,7.105427357601002e-15,True
0.8,bisection,0.8000000000174623,1.7462253865119237e-11,35,6.330367341433885e-10,True
0.8,newton,0.8000000000000003,2.220446049250313e-16,4,0.0,True
0.8,brent,0.8000000000002082,2.0816681711721685e-13,6,7.538858426414663e-12,True
